ID,Resource Name,URL,Primary Category,Subcategory,Target Age/Level,Main Language(s),Access Type,Best For,Keywords,Notes
38,MIT Press Open Access Books,https://mitpress.mit.edu/open-access-at-mit-press/books/,Free eBooks & Digital Libraries,Open scholarly books,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","MIT Press, open access, technology, science, humanities",Check title rights and access limits by item.
39,Open Book Publishers,https://www.openbookpublishers.com/,Free eBooks & Digital Libraries,Open scholarly books,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","peer reviewed, academic books, monographs, open access",Check title rights and access limits by item.
40,UCL Press Open Access Books,https://www.uclpress.co.uk/collections/open-access-books,Free eBooks & Digital Libraries,University press books,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","UCL Press, academic books, open access, research",Check title rights and access limits by item.
41,ANU Press,https://press.anu.edu.au/,Free eBooks & Digital Libraries,University press books,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","ANU, open access, Asia Pacific, policy, history",Check title rights and access limits by item.
42,University of Michigan Press Open Access,https://www.press.umich.edu/open-access,Free eBooks & Digital Libraries,University press books,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","Michigan, open access, humanities, academic books",Check title rights and access limits by item.
43,UC Press Luminos,https://www.luminosoa.org/,Free eBooks & Digital Libraries,Open scholarly books,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","UC Press, monographs, open access, humanities, social science",Check title rights and access limits by item.
44,SpringerOpen Books,https://www.springeropen.com/books,Free eBooks & Digital Libraries,Open scholarly books,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","SpringerOpen, science, medicine, humanities, open access",Check title rights and access limits by item.
45,IntechOpen,https://www.intechopen.com/,Free eBooks & Digital Libraries,Open books and chapters,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","STEM, engineering, medicine, book chapters, open access",Check title rights and access limits by item.
46,MDPI Books,https://www.mdpi.com/books,Free eBooks & Digital Libraries,Open academic books,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","MDPI, academic books, open access, science, humanities",Check title rights and access limits by item.
47,NCBI Bookshelf,https://www.ncbi.nlm.nih.gov/books/,Free eBooks & Digital Libraries,Biomedical books,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","medicine, biology, health, textbooks, reports, NCBI",Check title rights and access limits by item.
48,Cambridge Core Open Access Books,https://www.cambridge.org/core/what-we-publish/open-access/books,Free eBooks & Digital Libraries,Open academic books,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","Cambridge, academic books, open access, research",Check title rights and access limits by item.
49,Oxford Academic Open Access Books,https://academic.oup.com/pages/open-access/books,Free eBooks & Digital Libraries,Open academic books,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","Oxford, academic books, open access, university press",Check title rights and access limits by item.
50,Taylor & Francis Open Access Books,https://www.taylorfrancis.com/openaccess/books,Free eBooks & Digital Libraries,Open academic books,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","Taylor Francis, academic books, open access, chapters",Check title rights and access limits by item.
51,Directory of Open Access Books,https://www.doabooks.org/,Free eBooks & Digital Libraries,Open-access book index,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","DOAB, scholarly books, open access, peer reviewed",Check title rights and access limits by item.
52,OAPEN Library,https://www.oapen.org/,Free eBooks & Digital Libraries,Open academic books,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","OAPEN, monographs, humanities, social science, open access",Check title rights and access limits by item.
53,OpenEdition Books,https://books.openedition.org/,Free eBooks & Digital Libraries,Open academic books,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","OpenEdition, French, humanities, social sciences, open access",Check title rights and access limits by item.
54,Open Research Library,https://openresearchlibrary.org/,Free eBooks & Digital Libraries,Open academic books,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","open access books, scholarly books, research, monographs",Check title rights and access limits by item.
55,Open Humanities Press,https://openhumanitiespress.org/,Free eBooks & Digital Libraries,Open humanities books,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","humanities, theory, media studies, open access",Check title rights and access limits by item.
56,Language Science Press,https://langsci-press.org/,Free eBooks & Digital Libraries,Open linguistics books,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","linguistics, language, academic books, open access",Check title rights and access limits by item.
57,AU Press,https://www.aupress.ca/,Free eBooks & Digital Libraries,Open university press books,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","Athabasca, university press, open access, academic books",Check title rights and access limits by item.
58,Cornell Open,https://www.cornellpress.cornell.edu/cornell-open/,Free eBooks & Digital Libraries,Open university press books,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","Cornell, university press, open access, academic books",Check title rights and access limits by item.
59,TIME for Kids,https://www.timeforkids.com/,News & Current Events,Student news,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","kids news, student news, current events, nonfiction, grade level",Use multiple sources for balance.
60,DOGOnews,https://www.dogonews.com/,News & Current Events,Student news,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","kids news, current events, nonfiction, classroom, reading",Use multiple sources for balance.
61,News in Levels,https://newsinlevels.com/,News & Current Events,Graded English news,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","easy English, ESL, news, vocabulary, levels, listening",Use multiple sources for balance.
62,Breaking News English,https://breakingnewsenglish.com/,News & Current Events,ESL news lessons,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","news lessons, ESL, vocabulary, comprehension, listening",Use multiple sources for balance.
63,CNN 10,https://www.cnn.com/cnn10,News & Current Events,Student news video,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","student news, current events, video, civics, explainers",Use multiple sources for balance.
64,BBC Newsround,https://www.bbc.co.uk/newsround,News & Current Events,Kids news,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","kids news, UK, current events, explainers",Use multiple sources for balance.
65,CBC Kids News,https://www.cbc.ca/kidsnews,News & Current Events,Kids news,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","kids news, Canada, global news, current events",Use multiple sources for balance.
66,Youngzine,https://youngzine.org/,News & Current Events,Student news and articles,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","student articles, news, science, environment, society",Use multiple sources for balance.
67,Student News Daily,https://www.studentnewsdaily.com/,News & Current Events,Student news,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","student news, civics, current events, debate",Use multiple sources for balance.
68,The Learning Network,https://www.nytimes.com/section/learning,News & Current Events,Student activities,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","news, writing prompts, discussion, media literacy, classroom",Use multiple sources for balance.
69,Smithsonian Tween Tribune Archive,https://www.smithsonianmag.com/category/tween-tribune/,News & Current Events,Archived student articles,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","student articles, Smithsonian, nonfiction, science, history",Use multiple sources for balance.
70,Science News Explores,https://www.snexplores.org/,News & Current Events,Science news for students,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","science news, STEM, teens, research, explainers",Use multiple sources for balance.
71,Science News,https://www.sciencenews.org/,News & Current Events,Science journalism,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","science, medicine, technology, research, news",Use multiple sources for balance.
72,NASA Space Place,https://spaceplace.nasa.gov/,News & Current Events,Space science articles,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","space, NASA, astronomy, science, kids",Use multiple sources for balance.
73,NASA Earth Observatory,https://earthobservatory.nasa.gov/,News & Current Events,Earth science articles,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","earth science, satellite, climate, NASA, geography",Use multiple sources for balance.
74,NOAA SciJinks,https://scijinks.gov/,News & Current Events,Weather science for kids,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","weather, climate, science, kids, NOAA",Use multiple sources for balance.
75,National Geographic Education,https://education.nationalgeographic.org/,News & Current Events,Educational articles,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","geography, environment, science, culture, maps",Use multiple sources for balance.
76,National Geographic Kids,https://kids.nationalgeographic.com/,News & Current Events,Kids science and culture,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","kids, animals, science, geography, facts",Use multiple sources for balance.
77,Frontiers for Young Minds,https://kids.frontiersin.org/,News & Current Events,Science articles for kids,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","science, research, kids, STEM, young readers",Use multiple sources for balance.
78,Science Journal for Kids,https://www.sciencejournalforkids.org/,News & Current Events,Adapted science papers,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","science, research, students, comprehension, worksheets",Use multiple sources for balance.
79,Quanta Magazine,https://www.quantamagazine.org/,News & Current Events,Science and math journalism,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","science, math, physics, biology, computer science",Use multiple sources for balance.
80,Science Friday Articles,https://www.sciencefriday.com/articles/,News & Current Events,Science articles,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","science, technology, environment, articles",Use multiple sources for balance.
81,Popular Science,https://www.popsci.com/,News & Current Events,Science and technology articles,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","science, technology, environment, gadgets, articles",Use multiple sources for balance.
82,The Conversation,https://theconversation.com/,News & Current Events,Expert explainers,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","expert articles, current events, research, society",Use multiple sources for balance.
83,Our World in Data,https://ourworldindata.org/,News & Current Events,Data-driven explainers,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","data, global issues, charts, economics, health, environment",Use multiple sources for balance.
84,Vox Explainers,https://www.vox.com/explainers,News & Current Events,Explanatory journalism,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","explainers, society, culture, current events, news",Use multiple sources for balance.
85,AP News,https://apnews.com/,News & Current Events,General news,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","news, world, politics, business, current events",Use multiple sources for balance.
86,Reuters,https://www.reuters.com/,News & Current Events,General news,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","news, world, business, markets, politics",Use multiple sources for balance.
87,BBC News,https://www.bbc.com/news,News & Current Events,General news,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","world news, current events, explainers, global",Use multiple sources for balance.
88,Al Jazeera English,https://www.aljazeera.com/,News & Current Events,General news,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","world news, Middle East, politics, society",Use multiple sources for balance.
89,NPR News,https://www.npr.org/sections/news/,News & Current Events,News articles and audio,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","news, audio, culture, science, current events",Use multiple sources for balance.
90,Euronews,https://www.euronews.com/,News & Current Events,European and world news,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","news, Europe, world, politics, culture",Use multiple sources for balance.
91,Kiwi Kids News,https://kiwikidsnews.co.nz/,News & Current Events,Kids news,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","kids news, New Zealand, current events, literacy",Use multiple sources for balance.
92,Teaching Kids News,https://teachingkidsnews.com/,News & Current Events,Kids news and lessons,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","kids news, literacy, current events, lesson plans",Use multiple sources for balance.
93,NewsForKids.net,https://newsforkids.net/,News & Current Events,Kids news,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","kids news, easy articles, current events, nonfiction",Use multiple sources for balance.
94,Tween Tribune via Smithsonian,https://www.smithsonianmag.com/category/tween-tribune/,News & Current Events,Student nonfiction archive,"Kids, teens, adults","Mostly English, some multilingual",Free articles / free sections / account may be needed,"News reading, current events, nonfiction literacy","nonfiction, students, Smithsonian, science, history",Use multiple sources for balance.
95,Scholastic Classroom Magazines Articles,https://classroommagazines.scholastic.com/articles-for-students.html,Articles & Text Sets,Student articles,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","student articles, classroom, nonfiction, reading practice, science, history",Some classroom platforms require a free account.
96,WeTeachNYC Articles and Text Sets,https://www.weteachnyc.org/resources/collection/articles-and-text-sets-students/,Articles & Text Sets,Text sets,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","text sets, literacy, student reading, discussion, informational text",Some classroom platforms require a free account.
97,ReadWorks,https://www.readworks.org/find-content,Articles & Text Sets,Reading comprehension passages,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","reading comprehension, passages, vocabulary, literacy, K-12",Some classroom platforms require a free account.
98,CommonLit,https://www.commonlit.org/,Articles & Text Sets,Reading passages and lessons,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","reading, literature, nonfiction, comprehension, assessment",Some classroom platforms require a free account.
99,ReadTheory,https://readtheory.org/,Articles & Text Sets,Adaptive reading practice,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","reading comprehension, adaptive quizzes, K-12, ESL",Some classroom platforms require a free account.
100,Ereading Worksheets,https://www.ereadingworksheets.com/,Articles & Text Sets,Worksheets and passages,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","worksheets, reading skills, inference, main idea, comprehension",Some classroom platforms require a free account.
101,K12Reader,https://www.k12reader.com/,Articles & Text Sets,Reading worksheets,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","reading worksheets, grammar, spelling, comprehension",Some classroom platforms require a free account.
102,Achieve the Core,https://achievethecore.org/,Articles & Text Sets,ELA and math resources,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","ELA, text sets, close reading, standards, math",Some classroom platforms require a free account.
103,Newsela,https://newsela.com/,Articles & Text Sets,Leveled articles,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","leveled reading, articles, current events, literacy",Some classroom platforms require a free account.
104,Actively Learn,https://www.activelylearn.com/,Articles & Text Sets,Interactive reading platform,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","interactive reading, annotation, comprehension, classroom",Some classroom platforms require a free account.
105,ReadWriteThink,https://www.readwritethink.org/,Articles & Text Sets,Literacy resources,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","literacy, writing, reading activities, classroom",Some classroom platforms require a free account.
106,PBS LearningMedia,https://www.pbslearningmedia.org/,Articles & Text Sets,Educational media and articles,"Students, teens, educators",Mostly English,Free / free account / limited free tier,"Student articles, text sets, comprehension practice","PBS, education, videos, articles, social studies, science",Some classroom platforms require a free account.
